2024/10/05 02:16:23 [warn] 184#184: 512 worker_connections are not enough, reusing connections
2024/10/05 02:16:23 [alert] 184#184: 512 worker_connections are not enough
2024/10/05 02:16:23 [error] 183#183: *874 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "20.81.47.192", referrer: "http://20.81.47.192/"
2024/10/05 02:17:27 [error] 184#184: *878 open() "/var/www/html/cdn-cgi/trace" failed (2: No such file or directory), client: 152.42.247.210, server: localhost-nginx-proxy-manager, request: "GET /cdn-cgi/trace HTTP/1.1", host: "speed.cloudflare.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/dropdown.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //dropdown.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/x/index.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /x/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/languages/404.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /languages/404.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/CSVdkIX/luuf.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /CSVdkIX/luuf.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/.well-known/112.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /.well-known/112.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/wp-includes/Text/wp-login.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/Text/wp-login.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/css/fosil.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /css/fosil.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 "/var/www/html/newtab/index.html" is not found (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //newtab/ HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/mbbeecuhxt/wp-editor.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/mbbeecuhxt/wp-editor.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/wp-sec/wp.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //wp-content/plugins/wp-sec/wp.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/gardendecor/wp-content/themes/pridmag/db.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /gardendecor//wp-content/themes/pridmag/db.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-content/themes/01k8dise/fooster1337.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/themes/01k8dise/fooster1337.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/Marvins.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /Marvins.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/components/bmokwybx.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /components/bmokwybx.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/filemanager/dialog.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //filemanager/dialog.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/up.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //up.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/xmrlpc.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //.well-known/acme-challenge/xmrlpc.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-content/radio.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/radio.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-content/alfa.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/alfa.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/autoload_classmap.php/text.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /autoload_classmap.php/text.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/pwnd" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/pwnd HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-includes/SimplePie/HTTP" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/SimplePie/HTTP HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/erin1.PhP7" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /erin1.PhP7 HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-content/ovarcgosl.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/ovarcgosl.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-admin/maint/rk2.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/maint/rk2.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:36 [error] 184#184: *883 open() "/var/www/html/wp-includes" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/image/gecko.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //image/gecko.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/wp-content/themes/twentyfive/include.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/themes/twentyfive/include.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/wp-content/themes/ynz.PhP7" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/themes/ynz.PhP7 HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/.well-known/pki-validation/radio.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /.well-known/pki-validation/radio.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/wp/wp-content/plugins/qqjpdzwvna/wp-editor.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp/wp-content/plugins/qqjpdzwvna/wp-editor.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/wp-includes/css/native.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/css/native.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/~vizelabs/wp-content/plugins/csiydwj/pvkszsqg.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /~vizelabs/wp-content/plugins/csiydwj/pvkszsqg.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/bs1.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /bs1.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/o2ytteco/fooster1337.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/o2ytteco/fooster1337.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/wp-admin/images" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/images HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/u.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /u.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/ova-wso.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /ova-wso.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/aulavirtual/.github/default.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //aulavirtual/.github/default.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/0x.php/text.php/max.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /0x.php/text.php/max.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:37 [error] 184#184: *883 open() "/var/www/html/modules/mod_simplefileuploadv1.3/elements/roitwxmv.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /modules/mod_simplefileuploadv1.3/elements/roitwxmv.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/blog/wp-content/plugins/fix/luuf.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /blog/wp-content/plugins/fix/luuf.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/.well-known/pki-validation/file.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /.well-known/pki-validation/file.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/test.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /test.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/cgi-bin/mariju.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /cgi-bin/mariju.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/fm.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /fm.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/plugin/allez.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/plugin/allez.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/.lu/luuf.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /.lu/luuf.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/press/wp-class.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/press/wp-class.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/images/cadastro-2.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /images/cadastro-2.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/wp-content/ovaltfkhh.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/ovaltfkhh.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/webdb.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /webdb.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/js/tinymce/skins/lightgray/fonts/about.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /js/tinymce/skins/lightgray/fonts/about.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/anesthesiology/wp-content/plugins/fix/up.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /anesthesiology/wp-content/plugins/fix/up.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/uploads/baa.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /uploads/baa.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:38 [error] 184#184: *883 open() "/var/www/html/ova.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /ova.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-content/themes/index.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/themes/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/bsrdf.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /bsrdf.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-admin/GLAX3NCMq47.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/GLAX3NCMq47.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-includes/ID3/module.tag.id3v1-sql.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/ID3/module.tag.id3v1-sql.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/.well-known/fw.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /.well-known/fw.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/qgywmjbm.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /qgywmjbm.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/SH9JQ3.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /SH9JQ3.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/packed.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /packed.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-includes/css/dist/components/admin.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/css/dist/components/admin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/goat1.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /goat1.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-content/themes/8t6nhqef/fooster1337.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/themes/8t6nhqef/fooster1337.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/brundyn/wp-content/themes/pridmag/db.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /brundyn//wp-content/themes/pridmag/db.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-admin/css/colors/blue/lock.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/css/colors/blue/lock.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-includes/images/smilies/autoload_classmap.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/images/smilies/autoload_classmap.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:39 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/WordPressCore/include.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //wp-content/plugins/WordPressCore/include.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-content/themes/fswm8po3/fooster1337.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/themes/fswm8po3/fooster1337.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/9rafadt6/fooster1337.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/9rafadt6/fooster1337.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-content/style-css.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/style-css.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-includes/js/tinymce/plugins/compat3x/css/ws.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/js/tinymce/plugins/compat3x/css/ws.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/cgi-bin/cgi-bin/alfa-rex.php8" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /cgi-bin/cgi-bin/alfa-rex.php8 HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-content/languages/about.php7" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/languages/about.php7 HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/WP/wordpress/wp-content/plugins/fix/up.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /WP/wordpress/wp-content/plugins/fix/up.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-includes/certificates/index.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/certificates/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-admin/js/about.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/js/about.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/x.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /x.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/core/include.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/core/include.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/s/Text/erin1.PhP7" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /s/Text/erin1.PhP7 HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-admin/user/about.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET //wp-admin/user/about.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/wp-admin/js/widgets/COBUIy.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/js/widgets/COBUIy.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:40 [error] 184#184: *883 open() "/var/www/html/ZqnVAMN/luuf.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /ZqnVAMN/luuf.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:41 [error] 184#184: *883 open() "/var/www/html/rbzccnnp.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /rbzccnnp.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:41 [error] 184#184: *883 open() "/var/www/html/wp-admin/maint/users.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-admin/maint/users.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:41 [error] 184#184: *883 open() "/var/www/html/wp-includes/Text/admin.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/Text/admin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:41 [error] 184#184: *883 open() "/var/www/html/wp-includes/js/erin1.PhP7" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/js/erin1.PhP7 HTTP/1.1", host: "thomasgroupusa.com"
