2024/10/05 05:30:32 [error] 202#202: *39 html_site could not be resolved (2: Server failure), client: 107.197.155.85, server: thomasgroupusa.com, request: "GET / HTTP/1.1", host: "thomasgroupusa.com", referrer: "http://thomasgroupusa.com:81/"
2024/10/05 05:35:44 [error] 246#246: *141 html_site could not be resolved (2: Server failure), client: 107.197.155.85, server: thomasgroupusa.com, request: "GET / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 07:20:00 [error] 182#182: *302 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index.php" failed (2: No such file or directory), client: 52.178.220.65, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 07:20:09 [error] 182#182: *302 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/cidbpvxh.php" failed (2: No such file or directory), client: 52.178.220.65, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/cidbpvxh.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 07:20:11 [error] 182#182: *302 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/plugins.php" failed (2: No such file or directory), client: 52.178.220.65, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/plugins.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 07:45:00 [warn] 182#182: *857 using uninitialized "server" variable while logging request, client: 35.162.140.124, server: thomasgroupusa.com, request: "TRACE / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 12:51:47 [error] 198#198: *2079 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/custom-plugin.php" failed (2: No such file or directory), client: 52.169.238.203, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/custom-plugin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 12:51:50 [error] 198#198: *2079 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/license.php" failed (2: No such file or directory), client: 52.169.238.203, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/license.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:02:51 [error] 198#198: *2269 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/65afag.php" failed (2: No such file or directory), client: 13.74.145.44, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/65afag.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:02:54 [error] 198#198: *2269 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/file" failed (2: No such file or directory), client: 13.74.145.44, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/file HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:03:00 [error] 198#198: *2269 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/about.php" failed (2: No such file or directory), client: 13.74.145.44, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/about.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:29:01 [error] 198#198: *2593 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/iR7SzrsOUEP.php" failed (2: No such file or directory), client: 52.178.219.77, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/iR7SzrsOUEP.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:29:02 [error] 198#198: *2593 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index.php" failed (2: No such file or directory), client: 52.178.219.77, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:29:15 [error] 198#198: *2593 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/cidbpvxh.php" failed (2: No such file or directory), client: 52.178.219.77, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/cidbpvxh.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:29:18 [error] 198#198: *2593 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/plugins.php" failed (2: No such file or directory), client: 52.178.219.77, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/plugins.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:32:13 [error] 198#198: *3037 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/xmrlpc.php" failed (2: No such file or directory), client: 13.79.225.115, server: thomasgroupusa.com, request: "GET //.well-known/acme-challenge/xmrlpc.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:32:26 [error] 198#198: *3037 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/doc.php" failed (2: No such file or directory), client: 13.79.225.115, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/doc.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:32:31 [error] 198#198: *3037 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/wso112233.php" failed (2: No such file or directory), client: 13.79.225.115, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/wso112233.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:32:31 [error] 198#198: *3037 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/shimo.php" failed (2: No such file or directory), client: 13.79.225.115, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/shimo.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:32:36 [error] 198#198: *3037 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/file1.php" failed (2: No such file or directory), client: 13.79.225.115, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/file1.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 13:32:52 [error] 198#198: *3037 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/themes.php" failed (2: No such file or directory), client: 13.79.225.115, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/themes.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:41:47 [warn] 205#205: *3732 using uninitialized "server" variable while logging request, client: 35.162.140.124, server: thomasgroupusa.com, request: "TRACE / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:26 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:26 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/autoload_classmap.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/autoload_classmap.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:27 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/admin.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/admin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:27 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/makeasmtp.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/makeasmtp.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:29 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/radio.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/radio.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:30 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/plugins.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/plugins.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:33 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/cloud.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/cloud.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 19:53:36 [error] 205#205: *3779 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/xmrlpc.php" failed (2: No such file or directory), client: 52.178.140.120, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/xmrlpc.php?p= HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 20:24:30 [warn] 205#205: *5111 a client request body is buffered to a temporary file /tmp/nginx/body/9/98/0000000989, client: 137.184.116.236, server: thomasgroupusa.com, request: "POST /xmlrpc.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:35 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/xmrlpc.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/xmrlpc.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:42 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/themes.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/themes.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:42 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/makeasmtp.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/makeasmtp.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:43 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/mariju.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/mariju.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:43 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:46 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/install.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/install.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:48 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/file.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/file.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:51 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/gif.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/gif.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:51 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/upfile.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/upfile.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:52 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/autoload_classmap.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/autoload_classmap.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:52 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/admin.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/admin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:53 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/fond.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/fond.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:54 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index1.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index1.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:54 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/LA.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/LA.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:57 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/worksec.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/worksec.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:59 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/wso112233.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/wso112233.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:30:59 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/radio.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/radio.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 06:31:00 [error] 230#230: *7932 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/shimo.php" failed (2: No such file or directory), client: 52.169.28.158, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/shimo.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 07:42:11 [warn] 230#230: *8806 using uninitialized "server" variable while logging request, client: 35.162.140.124, server: thomasgroupusa.com, request: "TRACE / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 11:27:00 [warn] 230#230: *8975 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/99/0000001994 while reading upstream, client: 106.75.169.16, server: thomasgroupusa.com, request: "GET /assets/js/jquery.min.js HTTP/1.1", upstream: "http://192.168.2.20:80/assets/js/jquery.min.js", host: "thomasgroupusa.com"
2024/10/06 11:28:35 [warn] 230#230: *8995 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/99/0000001995 while reading upstream, client: 106.75.169.16, server: thomasgroupusa.com, request: "GET /assets/js/jquery.min.js HTTP/1.1", upstream: "http://192.168.2.20:80/assets/js/jquery.min.js", host: "thomasgroupusa.com"
2024/10/06 14:09:36 [error] 237#237: *10138 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/65afag.php" failed (2: No such file or directory), client: 13.94.93.23, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/65afag.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:09:39 [error] 237#237: *10138 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/file" failed (2: No such file or directory), client: 13.94.93.23, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/file HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:09:45 [error] 237#237: *10138 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/about.php" failed (2: No such file or directory), client: 13.94.93.23, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/about.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:14:44 [error] 237#237: *10353 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/xmrlpc.php" failed (2: No such file or directory), client: 52.169.8.167, server: thomasgroupusa.com, request: "GET //.well-known/acme-challenge/xmrlpc.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:14:53 [error] 237#237: *10353 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/doc.php" failed (2: No such file or directory), client: 52.169.8.167, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/doc.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:14:56 [error] 237#237: *10353 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/wso112233.php" failed (2: No such file or directory), client: 52.169.8.167, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/wso112233.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:14:56 [error] 237#237: *10353 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/shimo.php" failed (2: No such file or directory), client: 52.169.8.167, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/shimo.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:15:00 [error] 237#237: *10353 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/file1.php" failed (2: No such file or directory), client: 52.169.8.167, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/file1.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 14:15:11 [error] 237#237: *10353 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/themes.php" failed (2: No such file or directory), client: 52.169.8.167, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/themes.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 17:17:41 [error] 237#237: *12238 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/iR7SzrsOUEP.php" failed (2: No such file or directory), client: 52.138.140.234, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/iR7SzrsOUEP.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 17:17:41 [error] 237#237: *12238 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index.php" failed (2: No such file or directory), client: 52.138.140.234, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 17:17:50 [error] 237#237: *12238 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/cidbpvxh.php" failed (2: No such file or directory), client: 52.138.140.234, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/cidbpvxh.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 17:17:51 [error] 237#237: *12238 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/plugins.php" failed (2: No such file or directory), client: 52.138.140.234, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/plugins.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 17:49:49 [error] 237#237: *12693 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/custom-plugin.php" failed (2: No such file or directory), client: 52.178.213.73, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/custom-plugin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 17:49:51 [error] 237#237: *12693 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/license.php" failed (2: No such file or directory), client: 52.178.213.73, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/license.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:02 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/install.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/install.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:05 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/file.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/file.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:08 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/mariju.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/mariju.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:10 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/gif.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/gif.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:10 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/upfile.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/upfile.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:12 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/autoload_classmap.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/autoload_classmap.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:12 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/admin.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/admin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:13 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:13 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/fond.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/fond.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/06 19:41:14 [error] 244#244: *12966 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index1.php" failed (2: No such file or directory), client: 52.169.14.240, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index1.php HTTP/1.1", host: "thomasgroupusa.com"
